account,fear_trades,fear_win_rate,fear_avg_pnl,greed_trades,greed_win_rate,greed_avg_pnl,contrarian_delta,pnl_delta,behavior_type,fear_wins,greed_wins,total_pnl,total_trades,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,1512,0.47354497354497355,673.3728319828042,1851,0.23878984332793085,205.724738813074,0.2347551302170427,467.6480931697302,Contrarian,0,0,1600229.819979,3818,0.3596123624934521
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2791,0.4675743461125045,0.33209591472590483,3746,0.44180459156433527,17.540019351575012,0.02576975454816921,-17.207923436849107,Contrarian,0,0,47885.320514,7280,0.4427197802197802
0x271b280974205ca63b716753467d5a371de622ab,2665,0.3804878048780488,17.571780638649155,363,0.3746556473829201,13.447906170798898,0.005832157495128665,4.123874467850257,Contrarian,0,0,-70436.191318,3809,0.3019165135206091
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1961,0.39673635900050996,-5.861802568077511,10482,0.4438084335050563,13.241257856229728,-0.04707207450454631,-19.103060424307237,Momentum,0,0,132464.814554,13311,0.43858462925400044
0x2c229d22b100a7beb69122eed721cee9b24011dd,541,0.5582255083179297,30.83643015157116,1731,0.49566724436741766,64.10787022472559,0.06255826395051206,-33.27144007315442,Contrarian,1,0,168658.004994,3239,0.5199135535659154
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,519,0.3911368015414258,-110.66451766666667,263,0.5627376425855514,104.41137561596958,-0.17160084104412554,-215.07589328263623,Momentum,0,1,-31203.599986,815,0.45521472392638035
0x39cef799f8b69da1995852eea189df24eb5cae3c,3274,0.3182651191203421,-5.566006220525352,178,0.47752808988764045,140.4390175280899,-0.15926297076729834,-146.00502374861526,Momentum,0,0,14456.919335999997,3589,0.32766787405962666
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,98,0.6938775510204082,44.56237421428571,232,0.38362068965517243,177.19815290517244,0.3102568613652357,-132.63577869088672,Contrarian,1,0,53496.247243,332,0.4759036144578313
0x420ab45e0bd8863569a5efbb9c05d91f40624641,158,0.23417721518987342,835.4505596962025,176,0.1534090909090909,91.49186698863637,0.0807681242807825,743.9586927075661,Contrarian,0,0,199505.592732,383,0.2349869451697128
0x430f09841d65beb3f27765503d0f850b8bce7713,247,0.09716599190283401,22.73300446153846,532,0.47368421052631576,507.23382922744366,-0.3765182186234818,-484.5008247659052,Momentum,0,0,416541.872341,1237,0.48423605497170574
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1268,0.35646687697160884,-4.810444103312303,6584,0.34553462940461727,15.702720991646416,0.01093224756699157,-20.51316509495872,Contrarian,0,0,103343.716161,8519,0.35344524005164923
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2466,0.40389294403892945,184.2079134728305,1327,0.5749811605124341,90.20467661492087,-0.17108821647350464,94.00323685790964,Momentum,0,1,677747.050643,4356,0.48622589531680444
